1;RD43;BN25;1609459200;1
2;RD12;BN16;1609545600;1
3;RD42;BN7;1609632000;1
4;RD14;BN1;1609718400;1
5;RD35;BN18;1609804800;1
6;RD5;BN2;1609891200;1
7;RD31;BN33;1609977600;1
8;RD10;BN20;1610064000;1
9;RD23;BN24;1610150400;1
10;RD26;BN4;1610236800;1
11;RD11;BN8;1610323200;1
13;RD48;BN19;1610496000;1
14;RD15;BN21;1610582400;1
15;RD2;BN5;1610668800;1
16;RD30;BN27;1610755200;1
17;RD3;BN3;1610841600;1
18;RD13;BN11;1610928000;1
19;RD27;BN29;1611014400;1
20;RD16;BN22;1611100800;1
21;RD38;BN12;1611187200;1
22;RD40;BN26;1611273600;1
23;RD39;BN6;1611360000;1
24;RD33;BN14;1611446400;1
25;RD8;BN35;1611532800;1
26;RD1;BN10;1611619200;1
27;RD25;BN37;1611705600;1
28;RD37;BN9;1611792000;1
29;RD21;BN23;1611878400;1
30;RD20;BN17;1611964800;1
31;RD9;BN30;1612051200;1
32;RD36;BN28;1612137600;1
33;RD4;BN6;1612224000;1
34;RD45;BN1;1612310400;1
35;RD46;BN11;1612396800;1
36;RD1;BN1;1700877726;1
37;RD48;BN1;1700879531;1
38;RD48;BN1;1700879592;1
39;RD1;BN2;1700882790;1
40;RD15;BN29;1700885244;1
41;RD1;BN1;1702068287;1
41;RD1;BN1;1702068287;1
42;RD1;BN1;1702074148;1
43;RD2;BN6;1702074215;1
44;RD2;BN8;1702074215;1
45;RD2;BN29;1702074215;1
46;RD2;BN99;1702074215;1
47;RD50;BN10;1702093915;1
48;RD50;BN38;1702093978;1
49;RD50;BN39;1702093978;1
50;RD50;BN40;1702093978;0
